correctness,reasoning,clarity,accuracy,final_score,feedback,problem
10,10,10,10,10.0,"Bài giải của học sinh rất tốt, thực hiện đầy đủ các bước theo yêu cầu của đề bài, lập luận chặt chẽ, tính toán chính xác và trình bày rõ ràng.","Cho hàm số $f(x)$ thỏa mãn phương trình hàm: $f(x) + 2f(\frac{1}{x}) = 3x$ với mọi $x \neq 0$. a) Bằng cách thay $x$ bởi $\frac{1}{x}$, hãy tạo ra một phương trình thứ hai liên hệ giữa $f(x)$ và $f(\frac{1}{x})$. b) Giải hệ phương trình gồm phương trình ban đầu và phương trình mới tìm được để suy ra công thức tường minh cho $f(x)$. c) Tính $f(2)$ và $f(1/2)$."
10,10,10,10,10.0,"Bài giải của học sinh rất tốt, chứng minh phần a) và tìm tâm đối xứng phần b) đều chính xác và logic. Cách trình bày rõ ràng, dễ hiểu. Sử dụng gợi ý hiệu quả.","Một hàm số được gọi là đối xứng qua điểm $I(a, b)$ nếu $f(a-x) + f(a+x) = 2b$ với mọi $x$ sao cho $a-x$ và $a+x$ thuộc tập xác định. a) Chứng minh rằng hàm số $f(x) = x^3 - 6x^2 + 12x - 7$ đối xứng qua điểm $I(2, 1)$. Gợi ý: viết lại $f(x)$ theo $(x-2)$. b) Tìm tâm đối xứng của hàm số $g(x) = \frac{2x+1}{x-1}$."
10,10,10,10,10.0,"Bài giải của học sinh rất tốt, đầy đủ các bước và lập luận chặt chẽ. Học sinh đã xác định đúng tập xác định của các hàm số, rút gọn biểu thức và so sánh hai hàm số một cách chính xác. Lập luận về việc tại sao hai hàm số không bằng nhau cũng rất rõ ràng và có ví dụ minh họa.","Cho hai hàm số $f(x)=\sqrt{1-x^2}$ và $g(x)=\sin(x)$. a) Tìm tập xác định của $f(x)$, $g(x)$, $f(g(x))$ và $g(f(x))$. b) Rút gọn biểu thức của các hàm hợp $h(x) = f(g(x))$ và $k(x) = g(f(x))$. c) So sánh $k(x)$ và $x$. Chúng có bằng nhau không? Tại sao?"
10,10,10,10,10.0,"Bài giải chi tiết, đầy đủ các bước và lập luận chặt chẽ. Cách trình bày rõ ràng, dễ hiểu. Các phép biến đổi toán học chính xác.","Cho hàm số $f(x) = \ln(x + \sqrt{x^2+1})$. a) Tìm tập xác định của hàm số. b) Chứng minh rằng $f(x)$ là một hàm số lẻ. c) Tìm hàm ngược $f^{-1}(x)$. Gợi ý: đặt $y = f(x)$, biến đổi để được $e^y$, sau đó giải phương trình tìm $x$."
9,9,9,9,9.0,"Học sinh đã giải đúng hầu hết các phần của bài toán, chỉ có một vài sai sót nhỏ trong tính toán và cách diễn đạt. Cụ thể, ở phần a, có sự nhầm lẫn nhỏ trong công thức $f_2(x)$ và cách viết lại nó, nhưng kết quả cuối cùng cho $f_3(x)$ lại đúng. Phần b đã xác định đúng tập xác định, tuy nhiên cách lập luận có thể rõ ràng hơn một chút. Phần c dự đoán công thức là chính xác và lập luận về tính chu kỳ là hợp lý. Nhìn chung, đây là một bài làm tốt.",Cho hàm số $f(x) = \frac{1}{1-x}$. a) Tính các hàm hợp $f_2(x) = (f \circ f)(x) = f(f(x))$ và $f_3(x) = (f \circ f \circ f)(x) = f(f_2(x))$. b) Tìm tập xác định của $f_2(x)$ và $f_3(x)$. c) Dự đoán công thức của $f_n(x) = (f \circ f \circ ... \circ f)(x)$ (n lần).
10,10,10,10,10.0,"Bài giải của học sinh rất tốt, đi đúng hướng và có các bước lập luận rõ ràng. Các kết quả đều chính xác và trình bày mạch lạc. Cách trình bày từng bước và kiểm tra đạo hàm bậc hai là hoàn toàn chuẩn xác.",Một vật được ném lên từ mặt đất với vận tốc ban đầu $v_0 = 40$ m/s. Độ cao $h$ (tính bằng mét) của vật so với mặt đất sau $t$ giây được cho bởi hàm số $h(t) = 40t - 5t^2$. a) Tìm tập xác định của hàm số $h(t)$ trong bối cảnh thực tế của bài toán (tức là khi vật còn ở trên không). b) Tìm thời điểm vật đạt độ cao lớn nhất và tính độ cao đó. c) Tìm tập giá trị của hàm số $h(t)$ tương ứng với tập xác định đã tìm ở câu a.
9,9,8,9,9.0,"Học sinh đã làm tốt bài toán này. Các phân tích đều đúng và dẫn đến kết quả chính xác. Phần trình bày rõ ràng, tuy nhiên, có thể thêm một chút chi tiết về việc vẽ phác thảo đồ thị ở câu a để tăng độ rõ ràng.","Cho hai hàm số $f(x)=|x|$ và $g(x)=\cos(x)$. a) Vẽ phác thảo đồ thị của hai hàm số $y=f(g(x))$ và $y=g(f(x))$ trên cùng một hệ trục tọa độ. b) Hàm số $h(x) = f(g(x))$ có tuần hoàn không? Nếu có, chu kỳ cơ sở là bao nhiêu? c) Hàm số $k(x) = g(f(x))$ có phải là hàm chẵn không? Tại sao?"
10,10,9,10,10.0,"Bài giải của học sinh rất tốt, đã chứng minh đầy đủ và chính xác các ý của bài toán. Lập luận logic và rõ ràng. Có thể cải thiện thêm một chút về cách trình bày ở phần c để rõ ràng hơn nữa. Ví dụ, có thể diễn đạt rõ hơn về việc chọn dãy số hữu tỉ hội tụ về số vô tỉ.","Một hàm số $f: \mathbb{R} \to \mathbb{R}$ được gọi là thỏa mãn phương trình hàm Cauchy nếu $f(x+y) = f(x) + f(y)$ với mọi $x, y \in \mathbb{R}$. a) Chứng minh rằng $f(nx) = n f(x)$ với mọi số nguyên $n$ và mọi $x \in \mathbb{R}$. b) Từ kết quả câu a, chứng minh rằng $f(qx) = q f(x)$ với mọi số hữu tỉ $q$ và mọi $x \in \mathbb{R}$. c) Nếu thêm giả thiết $f$ liên tục tại ít nhất một điểm, có thể suy ra rằng $f(x)=cx$ với $c$ là hằng số. Hãy chứng minh điều này bằng cách chứng tỏ $f(x) = f(1) \cdot x$ với mọi $x \in \mathbb{R}$."
10,10,10,10,10.0,"Học sinh đã giải quyết tất cả các phần của bài toán một cách chính xác và đầy đủ. Lập luận rõ ràng, logic, thể hiện sự hiểu biết sâu sắc về khái niệm phép đối hợp và các tính chất liên quan.","Một hàm số $f(x)$ được gọi là một phép đối hợp (involution) nếu nó là hàm ngược của chính nó, tức là $(f \circ f)(x) = x$ với mọi $x$ trong tập xác định. a) Cho hàm $f(x) = \frac{ax+b}{cx-a}$. Tìm điều kiện của các hằng số $a, b, c$ để $f(x)$ là một phép đối hợp. b) Chứng minh rằng nếu $f(x)$ là một phép đối hợp và đơn điệu trên $\mathbb{R}$, thì $f(x)$ phải là hàm đồng nhất $f(x)=x$ hoặc là hàm $f(x)=k-x$ với $k$ là hằng số. c) Đồ thị của một phép đối hợp có tính chất hình học đặc biệt nào?"
3,3,3,3,3.0,"Lời giải của học sinh mắc nhiều lỗi sai cơ bản. Phần a) học sinh dự đoán đúng tập giá trị nhưng sai hoàn toàn về tính chẵn lẻ, cho rằng hàm số lẻ trong khi thực tế nó là hàm chẵn. Phần b) học sinh dự đoán sai chu kỳ của hàm số, cho rằng không có chu kỳ cơ sở trong khi mọi số hữu tỉ khác không đều là chu kỳ. Phần c) học sinh không đưa ra được lập luận chính xác về các điểm liên tục của hàm số.",Xét hàm Dirichlet $D(x) = \begin{cases} 1 & \text{khi } x \in \mathbb{Q} \\ 0 & \text{khi } x \in \mathbb{R} \setminus \mathbb{Q} \end{cases}$. a) Tìm tập giá trị của hàm số. Hàm số có chẵn hoặc lẻ không? b) Chứng minh rằng $D(x)$ là một hàm tuần hoàn. Một chu kỳ của nó là gì? Hàm số có chu kỳ cơ sở (chu kỳ dương nhỏ nhất) không? c) Xét hàm số $f(x) = x \cdot D(x)$. Tìm tất cả các điểm $x_0$ mà tại đó $f(x)$ liên tục (Kiến thức về giới hạn và liên tục được sử dụng).
10,10,10,10,10.0,"Bài giải chi tiết, logic, trình bày rõ ràng và đạt điểm tối đa ở tất cả các tiêu chí. Học sinh đã sử dụng đúng khái niệm đạo hàm để chứng minh tính đơn ánh, tính toán giá trị hàm ngược chính xác và lập luận chặt chẽ để tìm nghiệm của phương trình hàm.","Cho hàm số $f(x) = x^5 + x - 1$. a) Sử dụng khái niệm đạo hàm (hoặc lập luận về tính đơn điệu), chứng minh rằng $f(x)$ là hàm đơn ánh trên $\mathbb{R}$. b) Do $f$ là đơn ánh, nó có hàm ngược $f^{-1}(x)$. Không cần tìm công thức của $f^{-1}(x)$, hãy tính giá trị $f^{-1}(1)$ và $f^{-1}(-3)$. c) Chứng minh rằng phương trình $f(x) = f^{-1}(x)$ có nghiệm và nghiệm đó cũng là nghiệm của phương trình $f(x)=x$. Tìm nghiệm đó."
10,10,10,10,10.0,"Học sinh đã giải quyết tất cả các phần của bài toán một cách chính xác. Lập luận rõ ràng và mạch lạc, áp dụng đúng các định nghĩa và tính chất của hàm quasi-periodic. Cách trình bày sạch sẽ, dễ hiểu.",Một hàm số $f(x)$ xác định trên $\mathbb{R}$ được gọi là 'quasi-periodic' với hệ số $k>0$ và chu kỳ $T>0$ nếu $f(x+T) = k \cdot f(x)$ với mọi $x$. a) Cho $f(x) = a^x$. Chứng minh rằng $f(x)$ là quasi-periodic và tìm hệ số $k$ tương ứng với một chu kỳ $T$ cho trước. b) Cho $g(x) = a^x \sin(bx)$. Chứng minh $g(x)$ là quasi-periodic nếu $bT$ là một bội nguyên của $2\pi$. c) Giả sử $f(x)$ là một hàm quasi-periodic với $k=1$. Hàm số có tên gọi là gì?
8,8,8,8,8.0,"Bài làm của học sinh đã xử lý tốt các phần của bài toán. Phần a) có một chút nhầm lẫn về khoảng giá trị của c cho điểm cố định ổn định, đáp án chuẩn chỉ ra khoảng chính xác hơn là -3/4 < c < 1/4, trong khi học sinh chỉ đưa ra c <= 1/4. Tuy nhiên, lập luận và các bước tính toán ở các phần còn lại đều chính xác và rõ ràng. Phần b) phân tích đúng chu kỳ tuần hoàn. Phần c) chứng minh quy nạp và mô tả hành vi dựa trên tính chất lượng giác là rất tốt.","Cho hàm số $f_c(x) = x^2+c$, với $c$ là hằng số. Xét dãy lặp $x_{n+1} = f_c(x_n)$ với $x_0=0$. Dãy này có thể hội tụ, phân kỳ hoặc hỗn loạn tùy thuộc vào giá trị của $c$. a) Tìm các giá trị của $c$ để dãy có điểm cố định ổn định (stable fixed point), tức là tồn tại $x^*$ sao cho $f_c(x^*) = x^*$ và $|f_c'(x^*)| < 1$. b) Với $c=-1$, tính các giá trị $x_1, x_2, x_3, x_4$. Dãy này có biểu hiện gì? c) Với $c=-2$, chứng minh rằng nếu ta chọn $x_0 = 2\cos(\theta)$, thì $x_n = 2\cos(2^n \theta)$. Mô tả hành vi của dãy trong trường hợp này."
8,7,7,7,7.0,"Bài làm đã xác định đúng bậc của các hàm tổng, tích và hợp. Tuy nhiên, ở phần c, học sinh đã nhận ra rằng không thể suy ra n=m chỉ từ điều kiện f o g = g o f và đưa ra phản ví dụ đúng. Điểm trừ là ở phần trình bày lập luận cho phần c chưa rõ ràng và đôi khi có sự nhầm lẫn hoặc suy đoán chưa chắc chắn trước khi đưa ra phản ví dụ. Cần bổ sung thêm về việc so sánh hệ số cao nhất để khẳng định rõ hơn tại sao điều kiện f o g = g o f không dẫn đến n=m một cách tổng quát.","Cho hai hàm số $f(x)$ và $g(x)$ là các đa thức bậc $n$ và $m$ tương ứng, với $n,m \ge 1$. a) Xác định bậc của các hàm số $h(x) = f(x) + g(x)$ và $k(x) = f(x)g(x)$. b) Xác định bậc của hàm hợp $p(x) = (f \circ g)(x)$. c) Nếu $f \circ g = g \circ f$, điều này có ý nghĩa gì về bậc của $f$ và $g$? Chứng minh rằng nếu $n, m > 1$ thì phải có $n=m$."
10,10,10,10,10.0,"Lời giải của học sinh hoàn toàn chính xác và đầy đủ. Các bước tính toán và lập luận đều logic, bám sát định nghĩa của hàm Ackermann. Cách trình bày rõ ràng, dễ hiểu.","Hàm số Ackermann là một ví dụ về hàm tính được (computable) nhưng không phải là hàm đệ quy nguyên thủy, nổi tiếng vì tốc độ tăng trưởng cực nhanh. Một phiên bản đơn giản của nó là: $ A(m, n) = \begin{cases} n+1 & \text{nếu } m=0 \\ A(m-1, 1) & \text{nếu } m>0 \text{ và } n=0 \\ A(m-1, A(m, n-1)) & \text{nếu } m>0 \text{ và } n>0 \end{cases} $ a) Tính $A(1, 2)$. b) Tính $A(2, 1)$. c) Tìm một biểu thức tường minh cho $A(1, n)$ theo $n$."
10,10,10,10,10.0,"Bài làm trình bày rõ ràng, mạch lạc, đầy đủ các bước chứng minh cho từng phần. Lập luận logic và chính xác. Các bước biến đổi toán học đều đúng. Không có lỗi sai sót.","Một hàm số $f: \mathbb{R} \to \mathbb{R}$ được gọi là lồi (convex) nếu với mọi $x_1, x_2 \in \mathbb{R}$ và mọi $t \in [0, 1]$, bất đẳng thức sau được thỏa mãn: $f(tx_1 + (1-t)x_2) \le tf(x_1) + (1-t)f(x_2)$. a) Chứng minh rằng hàm $f(x)=ax+b$ vừa lồi vừa lõm (lõm khi bất đẳng thức đổi chiều). b) Chứng minh rằng hàm $g(x)=x^2$ là hàm lồi. c) Nếu $f$ và $g$ là hai hàm lồi và $f$ là hàm không giảm, chứng minh rằng hàm hợp $h(x) = f(g(x))$ cũng là hàm lồi."
8,9,8,8,8.0,"Bài giải của học sinh đã giải quyết tốt cả ba phần của bài toán. Phần a) và b) được chứng minh một cách logic và chính xác. Phần c) đã chỉ ra công thức tổng quát và đưa ra kết quả đúng là n!, tuy nhiên phần lập luận về cách tính trực tiếp và liên hệ với hệ số cao nhất có thể chi tiết hơn để hoàn thiện. Các bước trình bày tương đối rõ ràng và dễ hiểu.","Cho $P_n$ là tập hợp tất cả các đa thức có bậc không vượt quá $n$. Xét toán tử 'dịch chuyển' $S_a$ và toán tử 'sai phân' $\Delta_a$ trên $P_n$, định nghĩa bởi: $(S_a f)(x) = f(x+a)$ và $(\Delta_a f)(x) = f(x+a)-f(x)$. a) Chứng minh rằng nếu $f \in P_n$ thì $\Delta_a f \in P_{n-1}$ (với $n \ge 1$). b) $\Delta_a^k f$ được định nghĩa là áp dụng toán tử $\Delta_a$ liên tiếp $k$ lần. Chứng tỏ rằng $\Delta_a^{n+1} f = 0$ với mọi $f \in P_n$. c) Sử dụng khai triển Newton cho $(x+y)^n$, hãy tìm một công thức tường minh cho $(\Delta_1^n f)(x)$ khi $f(x)=x^n$."
10,10,10,10,10.0,"Bài làm của học sinh rất tốt, các bước giải quyết vấn đề đều chính xác và đầy đủ. Cách trình bày rõ ràng, dễ hiểu.",Cho một dãy số được định nghĩa bằng công thức truy hồi (cấp số cộng): $a_1 = 3$ và $a_{n+1} = a_n + 2$ với $n \ge 1$. a) Viết 5 số hạng đầu tiên của dãy. b) Tìm công thức tổng quát (số hạng thứ n) cho $a_n$. c) Dãy số này có hội tụ không? Giải thích tại sao.
10,10,10,10,10.0,"Bài giải hoàn toàn chính xác và đầy đủ. Lập luận rõ ràng, cách trình bày sạch sẽ và dễ hiểu. Các bước tính toán đều chuẩn xác. Việc sử dụng tiêu chuẩn kẹp để tìm giới hạn là hợp lý và chính xác.","Xét dãy số đan dấu $a_n = \frac{(-1)^n}{n}$. a) Liệt kê 6 số hạng đầu tiên của dãy và biểu diễn chúng trên trục số. b) Dãy số này có bị chặn không? Nếu có, hãy chỉ ra chặn trên và chặn dưới. c) Tìm giới hạn $\lim_{n \to \infty} a_n$."
10,10,10,10,10.0,"Bài giải của học sinh hoàn toàn chính xác, đầy đủ và lập luận chặt chẽ. Các bước giải đều tuân thủ theo yêu cầu của đề bài và đáp án chuẩn.","Cho dãy số $a_n = \frac{3n+1}{n}$. a) Viết lại công thức của $a_n$ bằng cách chia tử cho mẫu. b) Dựa vào công thức mới, hãy xét tính đơn điệu của dãy số (tăng hay giảm). c) Tìm giới hạn của dãy số."
10,10,10,10,10.0,"Bài giải của học sinh hoàn toàn chính xác và tuân thủ đầy đủ các bước của Nguyên lý kẹp. Cách trình bày rõ ràng, logic, đầy đủ các phần a, b, c theo yêu cầu của đề bài.","Sử dụng Nguyên lý kẹp để tìm giới hạn của dãy số $a_n = \frac{\cos(n^2)}{n+1}$. a) Tìm một chặn trên và một chặn dưới cho tử số $\cos(n^2)$. b) Dựa vào câu a, xây dựng bất đẳng thức kẹp cho $a_n$. c) Tính giới hạn của hai dãy số kẹp và suy ra giới hạn của $a_n$."
9,9,9,9,9.0,"Học sinh đã giải quyết bài toán một cách chính xác và logic. Các bước tính toán và lập luận đều đúng. Chỉ có một sai sót nhỏ trong phần tính toán giá trị $a_9$ so với đáp án chuẩn (0.162 so với 0.105), có thể do làm tròn số chưa chính xác hoặc nhầm lẫn. Tuy nhiên, nhận xét về xu hướng giảm của dãy là đúng. Các bước sau đó đều hoàn hảo.","Cho dãy số $a_n = \sqrt{n+1} - \sqrt{n}$. a) Tính các giá trị $a_1, a_4, a_9$. Nhận xét về giá trị của chúng. b) Nhân và chia với biểu thức liên hợp để tìm một biểu thức tương đương cho $a_n$. c) Dựa vào biểu thức mới, hãy tìm giới hạn của dãy số."
10,10,10,10,10.0,"Học sinh đã trả lời đúng và đầy đủ tất cả các phần của bài toán. Lập luận rõ ràng, chính xác và trình bày mạch lạc.",Cho dãy số $a_n = \frac{n!}{ (n+1)! }$. a) Hãy viết rõ định nghĩa của $(n+1)!$ theo $n!$. b) Sử dụng kết quả câu a để rút gọn biểu thức của $a_n$. c) Tìm giới hạn của dãy số.
9,9,9,9,9.0,"Bài làm của bạn rất tốt, các bước giải và kết quả đều chính xác. Có một điểm nhỏ cần lưu ý là khi viết 4 số hạng đầu tiên, quy ước phổ biến là bắt đầu từ $a_1$. Tuy nhiên, cách bạn bắt đầu từ $a_0$ cũng không sai và đã được giải thích rõ ràng. Điểm trừ rất nhỏ là không làm tròn kết quả ở phần a để dễ so sánh hơn với đáp án chuẩn, mặc dù kết quả phân số là chính xác.","Cho dãy số là một cấp số nhân: $a_n = 5 \cdot (\frac{2}{3})^n$. a) Viết 4 số hạng đầu tiên của dãy. b) Dãy số này đơn điệu tăng hay giảm? Tại sao? c) Dãy số có hội tụ không? Nếu có, giới hạn là bao nhiêu?"
10,10,10,10,10.0,"Học sinh đã giải bài toán một cách chính xác và đầy đủ. Các bước tính toán rõ ràng, lập luận chặt chẽ và trình bày mạch lạc. Phần so sánh tỉ số để xác định tính đơn điệu cũng rất tốt. Dự đoán giới hạn hợp lý và dựa trên sự hiểu biết về tốc độ tăng trưởng của hàm mũ và giai thừa.","Xét dãy số $a_n = \frac{3^n}{n!}$. a) Tính các số hạng $a_1, a_2, a_3, a_4, a_5$. b) So sánh $a_{n+1}$ và $a_n$ khi $n \ge 3$. Dãy số có đơn điệu giảm kể từ một số hạng nào đó không? c) Dự đoán giới hạn của dãy số."
10,9,9,10,9.0,Học sinh đã trả lời đúng tất cả các phần của câu hỏi. Lập luận chặt chẽ và rõ ràng. Cách giải thích giới hạn bằng định nghĩa một cách không chính thức rất tốt. Có thể thêm một chút chi tiết hơn về việc dãy hằng vừa tăng vừa giảm để đạt điểm tuyệt đối ở phần lập luận.,Cho dãy số $a_n = c$ (với $c$ là một hằng số). a) Viết 5 số hạng đầu tiên của dãy. b) Dãy số này có bị chặn không? Có đơn điệu không? c) Dùng định nghĩa giới hạn (một cách không chính thức) để giải thích tại sao $\lim_{n \to \infty} a_n = c$.
